"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.modifierExtension","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.KHK","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.KHK","","","",1,1,"","","","boolean {[]} {[]}
","Koronare Herzkrankheit","Koronare Herzkrankheit","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.KHK",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Diabetes","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Diabetes","","","",1,1,"","","","boolean {[]} {[]}
","Diabetes mellitus","Diabetes mellitus","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Diabetes",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Hypertonie","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Hypertonie","","","",1,1,"","","","boolean {[]} {[]}
","Hypertonie","Hypertonie","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Hypertonie",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Herzvitien","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Herzvitien","","","",1,1,"","","","boolean {[]} {[]}
","Herzvitien","Herzvitien","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Herzvitien",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.VHF","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.VHF","","","",1,1,"","","","boolean {[]} {[]}
","Vorhofflimmern/-flattern","Vorhofflimmern/-flattern","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.VHF",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.CVS","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.CVS","","","",1,1,"","","","boolean {[]} {[]}
","Cerebrovaskuläre Störungen","Cerebrovaskuläre Störungen","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.CVS",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Nieren","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Nieren","","","",1,1,"","","","boolean {[]} {[]}
","Chronische Niereninsuffizienz","Chronische Niereninsuffizienz","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Nieren",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.COB","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.COB","","","",1,1,"","","","boolean {[]} {[]}
","Chronisch obstruktive Bronchitis","Chronisch obstruktive Bronchitis","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.COB",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.COPD","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.COPD","","","",1,1,"","","","boolean {[]} {[]}
","Chronisch obstruktive Lungenerkrankung","Chronisch obstruktive Lungenerkrankung","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.COPD",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Schlaf","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Schlaf","","","",1,1,"","","","boolean {[]} {[]}
","Schlafapnoesyndrom","Schlafapnoesyndrom","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Schlaf",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Depression","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Depression","","","",1,1,"","","","boolean {[]} {[]}
","Depression","Depression","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Depression",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Anaemie","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Anaemie","","","",1,1,"","","","boolean {[]} {[]}
","Anämie","Anämie","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Anaemie",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Onko","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Onko","","","",1,1,"","","","boolean {[]} {[]}
","Onkologische Erkrankungen","Onkologische Erkrankungen","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Onko",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Kachexie","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Kachexie","","","",1,1,"","","","boolean {[]} {[]}
","Kachexie","Kachexie","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Kachexie",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Schmerz","ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Schmerz","","","",1,1,"","","","boolean {[]} {[]}
","Chronische Schmerzen","Chronische Schmerzen","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Komorbiditaeten.Schmerz",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.EKG","ErstdokumentationHI.Erstabklaerung.EKG","","","",1,1,"","","","boolean {[]} {[]}
","EKG (mit 12 Ableitungen)","EKG (mit 12 Ableitungen)","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.EKG",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Echokardiogramm","ErstdokumentationHI.Erstabklaerung.Echokardiogramm","","","",1,1,"","","","boolean {[]} {[]}
","Echokardiographie/LVEF Messung","Echokardiographie/LVEF Messung","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Echokardiogramm",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.NTproBNP","ErstdokumentationHI.Erstabklaerung.NTproBNP","","","",0,1,"","","","string {[]} {[]}
","NT-proBNP","Mit Blick auf die aktuelle Versorgungssituation muss festgehalten werden, dass die Bestimmung des
NT-proBNP als wichtiger Parameter im Rahmen der Diagnostik sowie als wesentlicher Marker im Krankheitsverlauf für die Primärversorgung
österreichweit nicht einheitlich geregelt ist. Auch in den CHI-Projekten gibt es unterschiedliche Vorgehensweisen. Die einheitliche
Regelung in Bezug auf NT-proBNP ist unabdingbar und sollte entsprechend priorisiert werden.","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.NTproBNP",0,1,"",""
"ErstdokumentationHI.Erstabklaerung.Symptomatik","ErstdokumentationHI.Erstabklaerung.Symptomatik","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Symptomatik/klinischer Status (NYHA I | NYHA II | NYHA III | NYHA IV)","Symptomatik/klinischer Status (NYHA I | NYHA II | NYHA III | NYHA IV)","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Symptomatik",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Kardiologe","ErstdokumentationHI.Erstabklaerung.Kardiologe","","","",1,1,"","","","boolean {[]} {[]}
","Überweisung an Kardiologin bzw. Kardiologen im Rahmen der Erstdiagnose","Der Begriff 'Kardiologe' wird hier der Einfachheit halber synonym für Fachärztin bzw. -arzt für Innere Medizin und Kardiologie
(Ärzteausbildungsordnung 2015) bzw. Fachärztin bzw. -arzt für Innere Medizin mit Additivfach Kardiologie (Ärzteausbildungsordnung
2006) verwendet.","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Kardiologe",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Diagnose","ErstdokumentationHI.Erstabklaerung.Diagnose","","","",1,1,"","","","CodeableConcept {[]} {[]}
","HFrEF | HFmrEF | HFpEF","HFrEF | HFmrEF | HFpEF","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Diagnose",1,1,"",""
"ErstdokumentationHI.Erstabklaerung.Behandlungsziel","ErstdokumentationHI.Erstabklaerung.Behandlungsziel","","","",1,1,"","","","CodeableConcept {[]} {[]}
","1 | 2 | 3a | 3b","1 | 2 | 3a | 3b","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Erstabklaerung.Behandlungsziel",1,1,"",""
"ErstdokumentationHI.Labor","ErstdokumentationHI.Labor","","","",1,1,"","","","date {[]} {[]}
","Laborkontrolle entsprechend Betreuungspfad (mind. halbjährlich zu erheben)","Laborkontrolle entsprechend Betreuungspfad (mind. halbjährlich zu erheben)","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Labor",1,1,"",""
"ErstdokumentationHI.Therapie","ErstdokumentationHI.Therapie","","","",1,1,"","","","BackboneElement {[]} {[]}
","Therapie","Therapie","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Therapie",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ErstdokumentationHI.Therapie.id","ErstdokumentationHI.Therapie.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ErstdokumentationHI.Therapie.extension","ErstdokumentationHI.Therapie.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ErstdokumentationHI.Therapie.modifierExtension","ErstdokumentationHI.Therapie.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ErstdokumentationHI.Therapie.HITherapie","ErstdokumentationHI.Therapie.HITherapie","","","",1,1,"","","","BackboneElement {[]} {[]}
","HI-spezifische Therapie","HI-spezifische Therapie","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Therapie.HITherapie",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ErstdokumentationHI.Therapie.HITherapie.id","ErstdokumentationHI.Therapie.HITherapie.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ErstdokumentationHI.Therapie.HITherapie.extension","ErstdokumentationHI.Therapie.HITherapie.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ErstdokumentationHI.Therapie.HITherapie.modifierExtension","ErstdokumentationHI.Therapie.HITherapie.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ErstdokumentationHI.Therapie.HITherapie.Therapie","ErstdokumentationHI.Therapie.HITherapie.Therapie","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Ja | Nein | Kontraindikation","Ja | Nein | Kontraindikation","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Therapie.HITherapie.Therapie",1,1,"",""
"ErstdokumentationHI.Therapie.HITherapie.Zieldosis","ErstdokumentationHI.Therapie.HITherapie.Zieldosis","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Evidenzbasierte Zieldosis (Erreicht | Nicht erreicht | Titrationsphase | Max. tolerierte Dosis erreicht)","Evidenzbasierte Zieldosis (Erreicht | Nicht erreicht | Titrationsphase | Max. tolerierte Dosis erreicht)","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Therapie.HITherapie.Zieldosis",1,1,"",""
"ErstdokumentationHI.Therapie.Komedikation","ErstdokumentationHI.Therapie.Komedikation","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Wesentliche Ko-Medikationen (Ja | Nein | Kontraindikation)","Wesentliche Ko-Medikationen (Ja | Nein | Kontraindikation)","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Therapie.Komedikation",1,1,"",""
"ErstdokumentationHI.Selbstmanagement","ErstdokumentationHI.Selbstmanagement","","","",1,1,"","","","BackboneElement {[]} {[]}
","Selbstmanagement (SM)/Schulung","Selbstmanagement (SM)/Schulung","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Selbstmanagement",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ErstdokumentationHI.Selbstmanagement.id","ErstdokumentationHI.Selbstmanagement.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ErstdokumentationHI.Selbstmanagement.extension","ErstdokumentationHI.Selbstmanagement.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ErstdokumentationHI.Selbstmanagement.modifierExtension","ErstdokumentationHI.Selbstmanagement.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ErstdokumentationHI.Selbstmanagement.Ressourcen","ErstdokumentationHI.Selbstmanagement.Ressourcen","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Ressourcen der Patienten/Angehörigen (Selbstmanagement möglich (regelmäßiges Monitoring wichtiger Parameter) | prinzipiell Selbstmanagement (Überprüfung in definierten Zeitintervallen) | Kontinuierliche Supervision)","Ressourcen der Patienten/Angehörigen (Selbstmanagement möglich (regelmäßiges Monitoring wichtiger Parameter) | prinzipiell Selbstmanagement (Überprüfung in definierten Zeitintervallen) | Kontinuierliche Supervision)","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Selbstmanagement.Ressourcen",1,1,"",""
"ErstdokumentationHI.Selbstmanagement.Betreuung","ErstdokumentationHI.Selbstmanagement.Betreuung","","","",1,1,"","","","string {[]} {[]}
","Betreuungssituation (Angehörige, Pflege, Heimhilfe etc.)","Betreuungssituation (Angehörige, Pflege, Heimhilfe etc.)","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Selbstmanagement.Betreuung",1,1,"",""
"ErstdokumentationHI.Selbstmanagement.DMPSchulung","ErstdokumentationHI.Selbstmanagement.DMPSchulung","","","",1,1,"","","","BackboneElement {[]} {[]}
","DM(P)-spezifische Patientenschulung","DM(P)-spezifische Patientenschulung","","","","","","","","","",,,,,"",,,,"ErstdokumentationHI.Selbstmanagement.DMPSchulung",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
